
"November 13, 2022"
Company Name,Highest,Lowest
Torrent Power,527.55,505.65
Bosch,"17,069.95","16,666.65"
Delta Corp,223.70,220.55
Balkrishna Ind,"1,915.00","1,879.35"
Hind Copper,115.15,111.65
AB Capital,131.20,127.65
L&T Finance,82.50,81.20
Max Financial,695.00,676.40
Granules India,372.00,359.35
Colgate,"1,608.50","1,582.50"
United Brewerie,"1,683.20","1,650.20"
Dalmia Bharat,"1,713.95","1,656.55"
Marico,506.60,498.05
HPCL,207.95,205.60
Laurus Labs,461.50,454.00
GMR Airports,38.70,37.85
Sun TV Network,564.90,545.80
Rain Industries,176.20,172.60
Atul,"8,394.90","8,230.50"
Petronet LNG,214.80,211.00
Can Fin Homes,540.00,529.70
INDUS TOWERS,192.05,187.30
Oracle Fin Serv,"3,100.65","3,065.35"
Aarti Ind,721.65,712.00
J. K. Cement,"2,840.00","2,776.00"
Mahanagar Gas,894.00,867.80
Syngene Intl,624.00,609.60
Glenmark,422.00,410.00
Guj State Petro,238.80,231.75
Abbott India,"19,550.00","19,150.00"
Metropolis,"1,653.50","1,595.05"
Torrent Pharma,"1,684.80","1,660.90"
Whirlpool,"1,538.90","1,511.10"
